user_id,source_chosen_item,neighbor_user_id,recommended_item_id,recommended_model,user_similarity
UID1,I002,UID5,I003,Forza 350,0.9
UID1,I002,UID43,I006,N-MAX,0.9
UID1,I002,UID28,I004,Giorno+,0.8
UID2,I002,UID56,I007,PCX 160,0.8
UID2,I002,UID76,I004,Giorno+,0.8
UID2,I002,UID13,I005,Grand Filano Hybrid,0.6
UID3,I002,UID57,I007,PCX 160,0.9
UID3,I002,UID82,I009,Wave 125i,0.8
UID3,I002,UID49,I006,N-MAX,0.7
UID4,I006,UID82,I009,Wave 125i,0.9
UID4,I006,UID8,I001,Click 160,0.7
UID4,I006,UID3,I002,ADV 160,0.7
UID5,I003,UID61,I006,N-MAX,1.0
UID5,I003,UID1,I002,ADV 160,0.9
UID5,I003,UID90,I008,Scoopy i,0.9
UID6,I003,UID12,I009,Wave 125i,0.9
UID6,I003,UID20,I003,Forza 350,0.8
UID6,I003,UID51,I006,N-MAX,0.8
UID7,I001,UID42,I003,Forza 350,0.9
UID7,I001,UID90,I008,Scoopy i,0.9
UID7,I001,UID52,I007,PCX 160,0.8
UID8,I001,UID73,I008,Scoopy i,0.8
UID8,I001,UID82,I009,Wave 125i,0.8
UID8,I001,UID4,I006,N-MAX,0.7
UID9,I001,UID28,I004,Giorno+,0.8
UID9,I001,UID41,I005,Grand Filano Hybrid,0.8
UID9,I001,UID4,I006,N-MAX,0.7
UID10,I001,UID39,I005,Grand Filano Hybrid,0.8
UID10,I001,UID78,I009,Wave 125i,0.7
UID10,I001,UID19,I003,Forza 350,0.6
UID11,I003,UID47,I003,Forza 350,1.0
UID11,I003,UID64,I006,N-MAX,1.0
UID11,I003,UID1,I002,ADV 160,0.8
UID12,I009,UID6,I003,Forza 350,0.9
UID12,I009,UID51,I006,N-MAX,0.9
UID12,I009,UID60,I007,PCX 160,0.8
UID13,I005,UID74,I008,Scoopy i,0.9
UID13,I005,UID56,I007,PCX 160,0.8
UID13,I005,UID5,I003,Forza 350,0.8
UID14,I005,UID33,I005,Grand Filano Hybrid,0.8
UID14,I005,UID15,I009,Wave 125i,0.7
UID14,I005,UID72,I008,Scoopy i,0.7
UID15,I009,UID27,I004,Giorno+,0.9
UID15,I009,UID70,I008,Scoopy i,0.9
UID15,I009,UID42,I003,Forza 350,0.8
UID16,I009,UID58,I007,PCX 160,0.8
UID16,I009,UID29,I004,Giorno+,0.7
UID16,I009,UID74,I008,Scoopy i,0.7
UID17,I003,UID63,I006,N-MAX,1.0
UID17,I003,UID11,I003,Forza 350,0.9
UID17,I003,UID1,I002,ADV 160,0.9
UID18,I003,UID5,I003,Forza 350,0.8
UID18,I003,UID54,I007,PCX 160,0.8
UID18,I003,UID43,I006,N-MAX,0.8
UID19,I003,UID24,I004,Giorno+,0.9
UID19,I003,UID62,I006,N-MAX,0.9
UID19,I003,UID69,I008,Scoopy i,0.9
UID20,I003,UID51,I006,N-MAX,1.0
UID20,I003,UID60,I007,PCX 160,0.9
UID20,I003,UID12,I009,Wave 125i,0.9
UID21,I003,UID22,I003,Forza 350,0.9
UID21,I003,UID12,I009,Wave 125i,0.8
UID21,I003,UID60,I007,PCX 160,0.7
UID22,I003,UID21,I003,Forza 350,0.9
UID22,I003,UID12,I009,Wave 125i,0.8
UID22,I003,UID36,I005,Grand Filano Hybrid,0.8
UID23,I003,UID17,I003,Forza 350,0.8
UID23,I003,UID63,I006,N-MAX,0.8
UID23,I003,UID59,I007,PCX 160,0.8
UID24,I004,UID19,I003,Forza 350,0.9
UID24,I004,UID27,I004,Giorno+,0.9
UID24,I004,UID52,I007,PCX 160,0.9
UID25,I004,UID20,I003,Forza 350,0.8
UID25,I004,UID51,I006,N-MAX,0.8
UID25,I004,UID60,I007,PCX 160,0.8
UID26,I004,UID36,I005,Grand Filano Hybrid,0.8
UID26,I004,UID55,I007,PCX 160,0.8
UID26,I004,UID6,I003,Forza 350,0.7
UID27,I004,UID70,I008,Scoopy i,1.0
UID27,I004,UID24,I004,Giorno+,0.9
UID27,I004,UID15,I009,Wave 125i,0.9
UID28,I004,UID1,I002,ADV 160,0.8
UID28,I004,UID31,I004,Giorno+,0.8
UID28,I004,UID9,I001,Click 160,0.8
UID29,I004,UID41,I005,Grand Filano Hybrid,0.9
UID29,I004,UID24,I004,Giorno+,0.8
UID29,I004,UID15,I009,Wave 125i,0.8
UID30,I004,UID31,I004,Giorno+,0.9
UID30,I004,UID54,I007,PCX 160,0.8
UID30,I004,UID41,I005,Grand Filano Hybrid,0.7
UID31,I004,UID30,I004,Giorno+,0.9
UID31,I004,UID41,I005,Grand Filano Hybrid,0.8
UID31,I004,UID54,I007,PCX 160,0.7
UID32,I005,UID59,I007,PCX 160,0.7
UID32,I005,UID38,I005,Grand Filano Hybrid,0.7
UID32,I005,UID88,I006,N-MAX,0.7
UID33,I005,UID14,I005,Grand Filano Hybrid,0.8
UID33,I005,UID46,I007,PCX 160,0.6
UID33,I005,UID81,I009,Wave 125i,0.6
UID34,I005,UID75,I003,Forza 350,0.9
UID34,I005,UID61,I006,N-MAX,0.8
UID34,I005,UID1,I002,ADV 160,0.8
UID35,I005,UID29,I004,Giorno+,0.7
UID35,I005,UID41,I005,Grand Filano Hybrid,0.7
UID35,I005,UID84,I009,Wave 125i,0.7
UID36,I005,UID12,I009,Wave 125i,0.8
UID36,I005,UID26,I004,Giorno+,0.8
UID36,I005,UID22,I003,Forza 350,0.8
UID37,I005,UID38,I005,Grand Filano Hybrid,0.8
UID37,I005,UID15,I009,Wave 125i,0.7
UID37,I005,UID24,I004,Giorno+,0.7
UID38,I005,UID55,I007,PCX 160,0.8
UID38,I005,UID37,I005,Grand Filano Hybrid,0.8
UID38,I005,UID88,I006,N-MAX,0.8
UID39,I005,UID10,I001,Click 160,0.8
UID39,I005,UID33,I005,Grand Filano Hybrid,0.7
UID39,I005,UID46,I007,PCX 160,0.7
UID40,I005,UID38,I005,Grand Filano Hybrid,0.8
UID40,I005,UID77,I009,Wave 125i,0.7
UID40,I005,UID87,I006,N-MAX,0.7
UID41,I005,UID29,I004,Giorno+,0.9
UID41,I005,UID9,I001,Click 160,0.8
UID41,I005,UID15,I009,Wave 125i,0.7
UID42,I003,UID7,I001,Click 160,0.9
UID42,I003,UID44,I003,Forza 350,0.9
UID42,I003,UID27,I004,Giorno+,0.9
UID43,I006,UID89,I006,N-MAX,1.0
UID43,I006,UID54,I007,PCX 160,0.9
UID43,I006,UID1,I002,ADV 160,0.9
UID44,I003,UID91,I008,Scoopy i,1.0
UID44,I003,UID75,I003,Forza 350,0.9
UID44,I003,UID34,I005,Grand Filano Hybrid,0.8
UID45,I003,UID52,I007,PCX 160,0.9
UID45,I003,UID75,I003,Forza 350,0.9
UID45,I003,UID1,I002,ADV 160,0.8
UID46,I007,UID57,I007,PCX 160,0.9
UID46,I007,UID3,I002,ADV 160,0.8
UID46,I007,UID83,I009,Wave 125i,0.8
UID47,I003,UID11,I003,Forza 350,1.0
UID47,I003,UID64,I006,N-MAX,1.0
UID47,I003,UID1,I002,ADV 160,0.8
UID48,I006,UID7,I001,Click 160,0.7
UID48,I006,UID13,I005,Grand Filano Hybrid,0.7
UID48,I006,UID5,I003,Forza 350,0.7
UID49,I006,UID11,I003,Forza 350,0.8
UID49,I006,UID57,I007,PCX 160,0.8
UID49,I006,UID64,I006,N-MAX,0.8
UID50,I006,UID4,I006,N-MAX,0.7
UID50,I006,UID6,I003,Forza 350,0.6
UID50,I006,UID25,I004,Giorno+,0.6
UID51,I006,UID20,I003,Forza 350,1.0
UID51,I006,UID60,I007,PCX 160,0.9
UID51,I006,UID12,I009,Wave 125i,0.9
UID52,I007,UID24,I004,Giorno+,0.9
UID52,I007,UID45,I003,Forza 350,0.9
UID52,I007,UID53,I007,PCX 160,0.9
UID53,I007,UID52,I007,PCX 160,0.9
UID53,I007,UID24,I004,Giorno+,0.8
UID53,I007,UID43,I006,N-MAX,0.8
UID54,I007,UID43,I006,N-MAX,0.9
UID54,I007,UID53,I007,PCX 160,0.9
UID54,I007,UID75,I003,Forza 350,0.9
UID55,I007,UID26,I004,Giorno+,0.8
UID55,I007,UID36,I005,Grand Filano Hybrid,0.8
UID55,I007,UID74,I008,Scoopy i,0.8
UID56,I007,UID2,I002,ADV 160,0.8
UID56,I007,UID13,I005,Grand Filano Hybrid,0.8
UID56,I007,UID11,I003,Forza 350,0.8
UID57,I007,UID3,I002,ADV 160,0.9
UID57,I007,UID46,I007,PCX 160,0.9
UID57,I007,UID49,I006,N-MAX,0.8
UID58,I007,UID16,I009,Wave 125i,0.8
UID58,I007,UID29,I004,Giorno+,0.8
UID58,I007,UID87,I006,N-MAX,0.8
UID59,I007,UID23,I003,Forza 350,0.8
UID59,I007,UID28,I004,Giorno+,0.7
UID59,I007,UID1,I002,ADV 160,0.7
UID60,I007,UID20,I003,Forza 350,0.9
UID60,I007,UID51,I006,N-MAX,0.9
UID60,I007,UID12,I009,Wave 125i,0.8
UID61,I006,UID5,I003,Forza 350,1.0
UID61,I006,UID1,I002,ADV 160,0.9
UID61,I006,UID68,I006,N-MAX,0.9
UID62,I006,UID1,I002,ADV 160,0.9
UID62,I006,UID52,I007,PCX 160,0.9
UID62,I006,UID19,I003,Forza 350,0.9
UID63,I006,UID17,I003,Forza 350,1.0
UID63,I006,UID1,I002,ADV 160,0.9
UID63,I006,UID64,I006,N-MAX,0.9
UID64,I006,UID11,I003,Forza 350,1.0
UID64,I006,UID66,I006,N-MAX,1.0
UID64,I006,UID1,I002,ADV 160,0.8
UID65,I006,UID11,I003,Forza 350,0.9
UID65,I006,UID64,I006,N-MAX,0.9
UID65,I006,UID78,I009,Wave 125i,0.8
UID66,I006,UID11,I003,Forza 350,1.0
UID66,I006,UID64,I006,N-MAX,1.0
UID66,I006,UID1,I002,ADV 160,0.8
UID67,I003,UID90,I008,Scoopy i,1.0
UID67,I003,UID7,I001,Click 160,0.9
UID67,I003,UID5,I003,Forza 350,0.9
UID68,I006,UID5,I003,Forza 350,0.9
UID68,I006,UID61,I006,N-MAX,0.9
UID68,I006,UID28,I004,Giorno+,0.8
UID69,I008,UID24,I004,Giorno+,0.9
UID69,I008,UID67,I003,Forza 350,0.9
UID69,I008,UID90,I008,Scoopy i,0.9
UID70,I008,UID27,I004,Giorno+,1.0
UID70,I008,UID15,I009,Wave 125i,0.9
UID70,I008,UID42,I003,Forza 350,0.9
UID71,I008,UID90,I008,Scoopy i,0.9
UID71,I008,UID67,I003,Forza 350,0.9
UID71,I008,UID7,I001,Click 160,0.8
UID72,I008,UID77,I009,Wave 125i,0.9
UID72,I008,UID73,I008,Scoopy i,0.8
UID72,I008,UID7,I001,Click 160,0.7
UID73,I008,UID77,I009,Wave 125i,0.9
UID73,I008,UID8,I001,Click 160,0.8
UID73,I008,UID72,I008,Scoopy i,0.8
UID74,I008,UID13,I005,Grand Filano Hybrid,0.9
UID74,I008,UID71,I008,Scoopy i,0.9
UID74,I008,UID55,I007,PCX 160,0.8
UID75,I003,UID1,I002,ADV 160,0.9
UID75,I003,UID61,I006,N-MAX,0.9
UID75,I003,UID5,I003,Forza 350,0.9
UID76,I004,UID2,I002,ADV 160,0.8
UID76,I004,UID16,I009,Wave 125i,0.6
UID76,I004,UID11,I003,Forza 350,0.6
UID77,I009,UID72,I008,Scoopy i,0.9
UID77,I009,UID7,I001,Click 160,0.8
UID77,I009,UID15,I009,Wave 125i,0.8
UID78,I009,UID19,I003,Forza 350,0.9
UID78,I009,UID56,I007,PCX 160,0.8
UID78,I009,UID62,I006,N-MAX,0.8
UID79,I009,UID80,I009,Wave 125i,0.7
UID79,I009,UID14,I005,Grand Filano Hybrid,0.6
UID79,I009,UID73,I008,Scoopy i,0.6
UID80,I009,UID84,I009,Wave 125i,0.8
UID80,I009,UID73,I008,Scoopy i,0.8
UID80,I009,UID8,I001,Click 160,0.6
UID81,I009,UID15,I009,Wave 125i,0.8
UID81,I009,UID3,I002,ADV 160,0.7
UID81,I009,UID46,I007,PCX 160,0.7
UID82,I009,UID4,I006,N-MAX,0.9
UID82,I009,UID8,I001,Click 160,0.8
UID82,I009,UID3,I002,ADV 160,0.8
UID83,I009,UID46,I007,PCX 160,0.8
UID83,I009,UID39,I005,Grand Filano Hybrid,0.7
UID83,I009,UID4,I006,N-MAX,0.7
UID84,I009,UID80,I009,Wave 125i,0.8
UID84,I009,UID72,I008,Scoopy i,0.7
UID84,I009,UID29,I004,Giorno+,0.7
UID85,I009,UID80,I009,Wave 125i,0.8
UID85,I009,UID73,I008,Scoopy i,0.8
UID85,I009,UID8,I001,Click 160,0.7
UID86,I006,UID12,I009,Wave 125i,0.8
UID86,I006,UID20,I003,Forza 350,0.7
UID86,I006,UID51,I006,N-MAX,0.7
UID87,I006,UID58,I007,PCX 160,0.8
UID87,I006,UID30,I004,Giorno+,0.7
UID87,I006,UID16,I009,Wave 125i,0.7
UID88,I006,UID38,I005,Grand Filano Hybrid,0.8
UID88,I006,UID74,I008,Scoopy i,0.8
UID88,I006,UID16,I009,Wave 125i,0.7
UID89,I006,UID43,I006,N-MAX,1.0
UID89,I006,UID54,I007,PCX 160,0.9
UID89,I006,UID1,I002,ADV 160,0.9
UID90,I008,UID67,I003,Forza 350,1.0
UID90,I008,UID7,I001,Click 160,0.9
UID90,I008,UID52,I007,PCX 160,0.9
UID91,I008,UID44,I003,Forza 350,1.0
UID91,I008,UID34,I005,Grand Filano Hybrid,0.8
UID91,I008,UID1,I002,ADV 160,0.8
