user_id,age_group,gender,raw_brand,item_id,mapped_model,budget_level,usage_fit,style,performance,comfort,easy_to_ride,fuel_saving,storage_need,safety_level,technology_level,maintenance_easy,,Note,,
UID1,teen,male,HONDA,I002,ADV 160,Unknown,Unknown,sporty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,Copied from User_Feature_Final for user vector input schema only. No vector encoding has been applied.,,
UID2,teen,male,HONDA,I002,ADV 160,low,daily,beauty,high,high,TRUE,Unknown,TRUE,high,Unknown,Unknown,,,,
UID3,adult,female,HONDA,I002,ADV 160,Unknown,rough_road,"sporty,modern,adventure,beauty",high,Unknown,Unknown,Unknown,Unknown,Unknown,medium,TRUE,,,,
UID4,adult,male,YAMAHA,I006,N-MAX,low,"city,daily",Unknown,high,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID5,teen,male,BMW,I003,Forza 350,Unknown,rough_road,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID6,adult,male,HONDA,I003,Forza 350,Unknown,"city,trip","sporty,premium,beauty",high,high,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID7,teen,female,HONDA,I001,Click 160,Unknown,Unknown,Unknown,Unknown,medium,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID8,young_adult,male,HONDA,I001,Click 160,Unknown,Unknown,"sporty,compact",high,medium,TRUE,Unknown,Unknown,Unknown,medium,TRUE,,,,
UID9,adult,male,HONDA,I001,Click 160,low,"city,daily,work,shopping,family","sporty,beauty",Unknown,medium,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID10,young_adult,female,HONDA,I001,Click 160,Unknown,long_distance,Unknown,high,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,,,,
UID11,teen,male,Harley,I003,Forza 350,Unknown,Unknown,"classic,beauty",high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID12,adult,male,YAMAHA,I009,Wave 125i,Unknown,"city,long_distance","premium,beauty",high,medium,TRUE,Unknown,Unknown,Unknown,medium,TRUE,,,,
UID13,teen,male,YAMAHA,I005,Grand Filano Hybrid,low,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID14,adult,female,YAMAHA,I005,Grand Filano Hybrid,low,city,"cute,compact,beauty",medium,Unknown,TRUE,Unknown,TRUE,Unknown,Unknown,Unknown,,,,
UID15,adult,female,YAMAHA,I009,Wave 125i,Unknown,daily,"modern,beauty",Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,medium,TRUE,,,,
UID16,adult,female,YAMAHA,I009,Wave 125i,low,"daily,shopping",Unknown,Unknown,medium,TRUE,Unknown,TRUE,Unknown,Unknown,Unknown,,,,
UID17,teen,male,HONDA,I003,Forza 350,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID18,young_adult,male,HONDA,I003,Forza 350,Unknown,long_distance,modern,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID19,teen,female,HONDA,I003,Forza 350,low,Unknown,"sporty,beauty",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID20,young_adult,male,HONDA,I003,Forza 350,Unknown,trip,"sporty,premium,beauty",high,high,Unknown,Unknown,Unknown,high,Unknown,Unknown,,,,
UID21,adult,male,HONDA,I003,Forza 350,Unknown,"long_distance,delivery","modern,beauty",high,high,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,,,,
UID22,adult,male,HONDA,I003,Forza 350,Unknown,Unknown,premium,high,high,Unknown,Unknown,TRUE,high,high,Unknown,,,,
UID23,adult,male,HONDA,I003,Forza 350,Unknown,storage_heavy,"sporty,beauty",high,Unknown,Unknown,Unknown,TRUE,high,high,Unknown,,,,
UID24,teen,female,HONDA,I004,Giorno+,low,Unknown,cute,Unknown,Unknown,Unknown,Unknown,Unknown,high,Unknown,Unknown,,,,
UID25,young_adult,female,HONDA,I004,Giorno+,low,city,"cute,beauty",high,medium,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID26,teen,male,HONDA,I004,Giorno+,Unknown,Unknown,compact,Unknown,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID27,teen,female,HONDA,I004,Giorno+,low,Unknown,"cute,compact,beauty",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID28,adult,male,HONDA,I004,Giorno+,Unknown,"daily,family","modern,beauty",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID29,adult,female,HONDA,I004,Giorno+,low,daily,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID30,young_adult,male,HONDA,I004,Giorno+,Unknown,"daily,work,shopping,family",beauty,Unknown,high,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID31,adult,male,HONDA,I004,Giorno+,Unknown,"daily,shopping,family","cute,beauty",Unknown,medium,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID32,teen,male,YAMAHA,I005,Grand Filano Hybrid,low,Unknown,beauty,Unknown,high,Unknown,TRUE,TRUE,Unknown,Unknown,Unknown,,,,
UID33,adult,female,YAMAHA,I005,Grand Filano Hybrid,low,"city,daily","premium,classic,compact,beauty",high,Unknown,TRUE,TRUE,TRUE,high,high,TRUE,,,,
UID34,teen,male,YAMAHA,I005,Grand Filano Hybrid,low,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,medium,TRUE,,,,
UID35,adult,หญิง,YAMAHA,I005,Grand Filano Hybrid,low,daily,"cute,beauty",Unknown,medium,TRUE,TRUE,Unknown,Unknown,Unknown,Unknown,,,,
UID36,adult,male,YAMAHA,I005,Grand Filano Hybrid,Unknown,Unknown,"cute,beauty",Unknown,high,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID37,adult,female,YAMAHA,I005,Grand Filano Hybrid,Unknown,Unknown,"classic,modern,beauty",Unknown,high,Unknown,TRUE,Unknown,Unknown,medium,Unknown,,,,
UID38,teen,female,YAMAHA,I005,Grand Filano Hybrid,low,Unknown,"cute,beauty",Unknown,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID39,young_adult,female,YAMAHA,I005,Grand Filano Hybrid,low,"city,work",beauty,high,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,TRUE,,,,
UID40,young_adult,female,YAMAHA,I005,Grand Filano Hybrid,Unknown,Unknown,beauty,Unknown,medium,Unknown,TRUE,Unknown,Unknown,Unknown,TRUE,,,,
UID41,adult,male,YAMAHA,I005,Grand Filano Hybrid,low,daily,"cute,beauty",Unknown,medium,TRUE,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID42,teen,female,Harley-Davidson,I003,Forza 350,Unknown,Unknown,"cute,compact",Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID43,young_adult,male,YAMAHA,I006,N-MAX,Unknown,Unknown,sporty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID44,teen,male,kawasaki,I003,Forza 350,Unknown,Unknown,"cute,compact,beauty",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID45,teen,unknown,Kawasaki,I003,Forza 350,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID46,adult,female,HONDA,I007,PCX 160,Unknown,"daily,shopping","cute,beauty",high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID47,teen,male,Kawasaki,I003,Forza 350,Unknown,Unknown,Unknown,high,Unknown,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID48,adult,male,YAMAHA,I006,N-MAX,Unknown,Unknown,"modern,compact,beauty",Unknown,high,TRUE,Unknown,Unknown,medium,high,TRUE,,,,
UID49,teen,male,YAMAHA,I006,N-MAX,Unknown,daily,"sporty,modern",high,Unknown,Unknown,Unknown,Unknown,Unknown,medium,TRUE,,,,
UID50,young_adult,male,YAMAHA,I006,N-MAX,Unknown,city,Unknown,high,high,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID51,young_adult,male,YAMAHA,I006,N-MAX,Unknown,"long_distance,trip",modern,high,high,Unknown,Unknown,Unknown,high,medium,Unknown,,,,
UID52,teen,female,HONDA,I007,PCX 160,Unknown,Unknown,"modern,beauty",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID53,young_adult,female,HONDA,I007,PCX 160,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID54,young_adult,male,HONDA,I007,PCX 160,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID55,teen,female,HONDA,I007,PCX 160,Unknown,Unknown,Unknown,Unknown,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID56,teen,male,HONDA,I007,PCX 160,Unknown,Unknown,"sporty,modern",high,medium,Unknown,Unknown,Unknown,Unknown,high,Unknown,,,,
UID57,adult,female,HONDA,I007,PCX 160,Unknown,daily,"sporty,beauty",high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID58,adult,female,HONDA,I007,PCX 160,low,"work,shopping,family,storage_heavy","sporty,premium,beauty",Unknown,high,Unknown,Unknown,TRUE,Unknown,medium,Unknown,,,,
UID59,adult,male,HONDA,I007,PCX 160,Unknown,Unknown,"sporty,premium,modern,beauty",Unknown,Unknown,Unknown,Unknown,TRUE,high,high,Unknown,,,,
UID60,young_adult,male,HONDA,I007,PCX 160,Unknown,Unknown,"sporty,modern,beauty",high,high,Unknown,Unknown,Unknown,Unknown,high,Unknown,,,,
UID61,teen,male,HONDA,I006,N-MAX,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID62,teen,female,YAMAHA,I006,N-MAX,Unknown,Unknown,"sporty,beauty",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID63,teen,male,YAMAHA,I006,N-MAX,Unknown,Unknown,"sporty,modern,beauty",high,Unknown,Unknown,Unknown,Unknown,Unknown,high,Unknown,,,,
UID64,teen,male,YAMAHA,I006,N-MAX,Unknown,Unknown,"sporty,beauty",high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID65,teen,unknown,YAMAHA,I006,N-MAX,Unknown,Unknown,Unknown,high,Unknown,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID66,teen,male,YAMAHA,I006,N-MAX,Unknown,Unknown,beauty,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID67,teen,female,HONDA,I003,Forza 350,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID68,teen,male,Yadea,I006,N-MAX,Unknown,daily,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID69,teen,female,HONDA,I008,Scoopy i,low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID70,teen,female,HONDA,I008,Scoopy i,low,Unknown,cute,Unknown,medium,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID71,teen,female,HONDA,I008,Scoopy i,Unknown,Unknown,Unknown,Unknown,medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID72,young_adult,female,HONDA,I008,Scoopy i,low,city,"compact,beauty",medium,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID73,young_adult,male,HONDA,I008,Scoopy i,low,Unknown,"cute,compact",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID74,teen,female,HONDA,I008,Scoopy i,low,Unknown,compact,Unknown,medium,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID75,teen,male,HONDA,I003,Forza 350,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID76,teen,female,vespa,I004,Giorno+,Unknown,"daily,work,shopping","classic,modern,beauty",high,high,Unknown,Unknown,TRUE,Unknown,medium,TRUE,,,,
UID77,young_adult,female,HONDA,I009,Wave 125i,low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID78,teen,female,HONDA,I009,Wave 125i,low,Unknown,Unknown,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID79,young_adult,male,HONDA,I009,Wave 125i,low,"city,daily,work,shopping",beauty,medium,medium,TRUE,TRUE,TRUE,Unknown,Unknown,TRUE,,,,
UID80,young_adult,male,HONDA,I009,Wave 125i,Unknown,"daily,work,family",Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,medium,TRUE,,,,
UID81,adult,female,HONDA,I009,Wave 125i,low,Unknown,Unknown,Unknown,medium,TRUE,TRUE,Unknown,Unknown,Unknown,TRUE,,,,
UID82,adult,male,HONDA,I009,Wave 125i,Unknown,"family,rough_road",compact,high,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID83,adult,male,HONDA,I009,Wave 125i,low,"work,shopping",Unknown,high,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,TRUE,,,,
UID84,adult,female,HONDA,I009,Wave 125i,low,"daily,work,shopping,family",Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,TRUE,,,,
UID85,young_adult,male,HONDA,I009,Wave 125i,low,"work,shopping",modern,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID86,adult,male,YAMAHA,I006,N-MAX,low,"long_distance,trip",sporty,high,high,Unknown,TRUE,Unknown,Unknown,high,TRUE,,,,
UID87,young_adult,female,YAMAHA,I006,N-MAX,low,shopping,"sporty,beauty",Unknown,high,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID88,teen,female,HONDA,I006,N-MAX,Unknown,Unknown,Unknown,Unknown,high,Unknown,TRUE,TRUE,high,high,Unknown,,,,
UID89,young_adult,male,YAMAHA,I006,N-MAX,Unknown,Unknown,sporty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID90,teen,female,HONDA,I008,Scoopy i,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID91,teen,male,HONDA,I008,Scoopy i,Unknown,Unknown,"classic,cute,compact,beauty",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
